PRDID,LOCID,CURRID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZNETTO2REVENUE
719095,99999999_Dummy,EUR,01,99999999_Dummy,4000,1000,01,2021-08-31,25.3
719095,99999999_Dummy,EUR,01,99999999_Dummy,4000,1000,01,2021-09-30,151.8
719095,99999999_Dummy,EUR,01,99999999_Dummy,4000,1000,01,2021-10-31,50.6
719095,99999999_Dummy,EUR,01,99999999_Dummy,4000,1000,01,2021-11-30,50.6
719095,99999999_Dummy,EUR,01,99999999_Dummy,4000,1000,01,2021-12-31,50.6
719095,99999999_Dummy,EUR,01,99999999_Dummy,9002,1000,01,2021-03-31,71.14
719095,99999999_Dummy,EUR,01,99999999_Dummy,9002,1000,01,2022-06-30,262.8
719095,99999999_Dummy,EUR,01,ZZ0044,1004,1010,01,2021-05-31,233.8
719095,99999999_Dummy,EUR,01,ZZ0044,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0044,1004,1010,01,2022-07-31,269.2
719095,99999999_Dummy,EUR,01,ZZ0044,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0044,1004,1010,01,2022-12-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0085,1004,1010,01,2021-03-31,116.9
719095,99999999_Dummy,EUR,01,ZZ0085,1004,1010,01,2021-06-30,122.7
719095,99999999_Dummy,EUR,01,ZZ0085,1004,1010,01,2021-08-31,245.4
719095,99999999_Dummy,EUR,01,ZZ0085,1004,1010,01,2021-09-30,122.7
719095,99999999_Dummy,EUR,01,ZZ0085,1004,1010,01,2021-10-31,122.7
719095,99999999_Dummy,EUR,01,ZZ0085,1004,1010,01,2022-01-31,245.4
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-01-31,250.0
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-02-28,1610.32
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-04-30,-13.75
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-06-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-07-31,729.8
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-08-31,129.6
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-09-30,740.37
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-10-31,222.41
