PRDID;LOCID;KEYFIGUREDATE;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZACTUALPROMOTIONQTY;ZACTUALSALES;ZADJUSTEDSALESQTY;ZADJUSTEDSALESQTYINCLPRED;ZSTATISTICALEXPOSTFORECASTQTY;ZSTATISTICALFORECASTQTY;ZOUTLIERCORRECTIONTHRESHHOLD;ZOUTLIERCORRECTIONMARKER;ZACTUALSSALESADJ;ZDISAGGFACTOR;ZGROWTHFACTOR;ZSALESFORECAST;ZNEWPRODUCTFORECAST
898589;1050;2023-03-09;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-16;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-17;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-20;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-21;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-28;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-11;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-14;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-18;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-21;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-11;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-31;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-01;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-23;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-29;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-18;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-21;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-17;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-21;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-23;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-25;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-28;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-04;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-08;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-21;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-04;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-05;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-06;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-13;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-18;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-25;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-02;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-07;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-09;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-15;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-17;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-29;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-12-01;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-27;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-14;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-15;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-27;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-04;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-11;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-10;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-06;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-29;01;ZZ0134;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-22;01;ZZ0160;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-29;01;ZZ0160;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-17;01;ZZ0160;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-04;01;ZZ0160;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-10;01;ZZ0160;2002;1070;01;;0;;;;;;;;;;;
