PRDID;LOCID;KEYFIGUREDATE;CURRID;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZNETTO2REVENUE
898589;1050;2023-08-09;EUR;01;ZZ0072;2002;1070;01;-62,86
898589;1050;2023-08-15;EUR;01;ZZ0072;2002;1070;01;-8,24
898589;1050;2023-08-16;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-08-17;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-08-22;EUR;01;ZZ0072;2002;1070;01;-4,58
898589;1050;2023-08-23;EUR;01;ZZ0072;2002;1070;01;-6,8
898589;1050;2023-08-28;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-08-29;EUR;01;ZZ0072;2002;1070;01;-1,7
898589;1050;2023-08-30;EUR;01;ZZ0072;2002;1070;01;-13,34
898589;1050;2023-09-01;EUR;01;ZZ0072;2002;1070;01;-1,7
898589;1050;2023-09-05;EUR;01;ZZ0072;2002;1070;01;-5,1
898589;1050;2023-09-06;EUR;01;ZZ0072;2002;1070;01;-8,88
898589;1050;2023-09-08;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-09-11;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-09-12;EUR;01;ZZ0072;2002;1070;01;-6,8
898589;1050;2023-09-13;EUR;01;ZZ0072;2002;1070;01;-44,6
898589;1050;2023-09-14;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-09-15;EUR;01;ZZ0072;2002;1070;01;-4,58
898589;1050;2023-09-19;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-09-20;EUR;01;ZZ0072;2002;1070;01;-1,7
898589;1050;2023-09-25;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-09-26;EUR;01;ZZ0072;2002;1070;01;-58,28
898589;1050;2023-10-04;EUR;01;ZZ0072;2002;1070;01;-1,7
898589;1050;2023-10-06;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-10-09;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-10-12;EUR;01;ZZ0072;2002;1070;01;-53,7
898589;1050;2023-10-13;EUR;01;ZZ0072;2002;1070;01;-7,2
898589;1050;2023-10-18;EUR;01;ZZ0072;2002;1070;01;-4,32
898589;1050;2023-10-19;EUR;01;ZZ0072;2002;1070;01;-49,36
898589;1050;2023-10-20;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-10-23;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-10-25;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-10-26;EUR;01;ZZ0072;2002;1070;01;-6,39
898589;1050;2023-10-27;EUR;01;ZZ0072;2002;1070;01;-7,68
898589;1050;2023-11-01;EUR;01;ZZ0072;2002;1070;01;-5,98
898589;1050;2023-11-02;EUR;01;ZZ0072;2002;1070;01;-9,68
898589;1050;2023-11-03;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-11-06;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-11-08;EUR;01;ZZ0072;2002;1070;01;-47,08
898589;1050;2023-11-09;EUR;01;ZZ0072;2002;1070;01;-1,7
898589;1050;2023-11-10;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-11-14;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-11-15;EUR;01;ZZ0072;2002;1070;01;-11,64
898589;1050;2023-11-17;EUR;01;ZZ0072;2002;1070;01;-10,2
898589;1050;2023-11-21;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-11-22;EUR;01;ZZ0072;2002;1070;01;-133,83
898589;1050;2023-11-23;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-11-24;EUR;01;ZZ0072;2002;1070;01;-9,68
898589;1050;2023-11-29;EUR;01;ZZ0072;2002;1070;01;-10,2
898589;1050;2023-01-13;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-01-18;EUR;01;ZZ0074;2002;1070;01;-22,98
898589;1050;2023-01-19;EUR;01;ZZ0074;2002;1070;01;-19,15
